url,isFromDeveloper,isFromBuilder,isFromSeller,isFromLeadFactory,floorsCount,buildYear,parking,ceilingHeight,cranageTypes,houseMaterialType,entrances,flatCount,isEmergency,houseHeatSupplyType,houseOverhaulFundType,houseGasSupplyType,houseOverlapType,seriesName,lifts,creationDate,editDate,externalOfferUrl,isIllegalConstruction,isCianPartner,isDuplicate,isUniqueCheckDate,isUniqueForCian,isUnique,moderationInfo,userTrustLevel,userTrust,demolishedInMoscowProgramm,isRentByParts,priceTotal,floorNumber,roomsCount,repairType,windowsViewType,totalArea,kitchenArea,isPenthouse,isApartments,flatType,isInHiddenBase,isObjectHidden,isClosedVisibility,videos,title,description,object_guid,coords,parsed_address,author_info,wc_type,elevator_descr,sale_terms,today_views,total_views,price_history,seo_media_title_full,seo_media_title_short,seo_main_title,seo_descr,ad_is_closed,offer_page_load_dttm,isAuction,hasFurniture,cadastralNumber,balconiesCount,kp,decoration,isByHomeowner,rosreestrCheck,livingArea,loggiasCount,bedroomsCount,coordinates,railways,undergrounds,jk,type,passengerLiftsCount,cargoLiftsCount,materialType,classType,deadline,mortgageAllowed,priceType,vatType,utilitiesTerms,agentBonus,deposit,agentFee,bargainAllowed,currency,cian_price_range,photo_url_list,search_alias
https://www.cian.ru/sale/flat/302152670/,False,False,False,False,48,2010.0,{'type': 'underground'},,[],monolith,4.0,662.0,False,central,specialOrg,without,concrete,Индивидуальный проект,19.0,2024-05-17T19:37:44.963,2025-02-15T20:40:14.753967+00:00,,False,False,False,2025-02-15,,False,{'showContactWarningMessage': False},involved,involved,False,False,60000000,38,3.0,design,yardAndStreet,161.1,,False,False,rooms,False,False,False,,Лучшая стоимость!,"Лот: 103961.   На продажу предлагается трехкомнатная квартира площадью 161,1 кв.м. в ЖК ""WellHouse на Ленинском"". 

Планировка:  просторная кухня-гостиная, спальня со своим санузлом и гардеробной, спальня со своей гардеробной, совмещенный санузел, постирочная, кладовая, прихожая. 

Высота потолков - 3 м. 

В квартире выполнен ремонт в классическом стиле с использованием качественных материалов. Полное оснащение премиальной бытовой техникой и мебелью под заказ. Предусмотрено большое количество мест для хранения. 

Квартира расположена на 38 этаже, откуда открываются завораживающие виды на город и лесопарк. 

Закрытая и охраняемая территория. Видеонаблюдение. Подземный паркинг. 

Развитая инфраструктура жилого комплекса, где в том числе расположен фитнес с бассейном. В пешей доступности лесопарк с прогулочными зонами, школы, ТЦ ""РИО"". Удобная транспортная доступность.

Участник ассоциации AREA.",6536df13-9e16-4d52-85a5-4919cb444b54,"{'lat': 55.661328, 'lng': 37.509343}","Москва, ЮЗАО, район Обручевский, Ленинский проспект, 111к1","{'id': 117830043, 'cianUserId': 117830043, 'realtyUserId': 117830043, 'accountType': 'specialist', 'companyName': 'Point Estate Город', 'creationDate': '2024-06-14T16:03:22.463000+00:00', 'name': 'Лилия Салминова', 'isPro': True, 'phones': [{'confirmed': True}, {'confirmed': True}, {'confirmed': True}, {'confirmed': True}, {'confirmed': True}], 'skills': [], 'absoluteAvatarUrl': 'https://www.cian.ru/api/get-avatar/?i=64490554&t=2&p=2&timestamp=1720607699', 'absoluteMiniAvatarUrl': 'https://www.cian.ru/api/get-avatar/?i=64490554&t=2&p=1&timestamp=1720607699', 'isDeveloper': False, 'firstName': 'Лилия', 'lastName': 'Салминова', 'parentId': 6476275, 'parentCianId': 525570, 'isRecidivist': False, 'isUserOffersHasErrors': False, 'offersCount': 238, 'offersLink': 'https://www.cian.ru/company/525570/', 'availableServices': {'isUploadsAvailable': True, 'isCallTrackingAvailable': False, 'isPhoneChangingAvailable': False, 'isServicePackagesAvailable': False, 'canUseHiddenBase': True}, 'userType': 'realtor_based', 'removeCompetitor': False, 'status': 'hidden', 'isSubAgent': True, 'isMessagingEnabled': False, 'isPassportVerified': True, 'isSelfEmployed': False, 'isPrivateBroker': False, 'masterAgent': {'cianUserId': 525570, 'realtyUserId': 6476275, 'absoluteAvatarUrl': 'https://www.cian.ru/api/get-avatar/?i=106561&t=2&p=2&timestamp=1718850083', 'absoluteMiniAvatarUrl': 'https://www.cian.ru/api/get-avatar/?i=106561&t=2&p=1&timestamp=1718850083', 'accountType': 'agency', 'creationDate': '2014-09-16T16:11:53+00:00', 'offersCount': 238}, 'isCianPartner': False, 'canShowOnline': False, 'moderationInfo': {'qualityLevelInfo': {'levelSystemName': 'max', 'levelName': 'Суперагент', 'levelOrder': 4, 'hasVerifiedDocuments': True, 'highResponsibility': True, 'isSuperAgent': True, 'isSuperHost': False, 'isBlocked': False, 'showSuperHost': False, 'showSuperAgent': True, 'showHighResponsibility': True}, 'isUserIdentified': True, 'isUserIdentifiedByDocuments': True, 'showUserIdentifiedByDocuments': False}, 'isHidden': True, 'metrics': [{'title': 'На Циан', 'value': '10 лет'}, {'title': 'Объектов в работе', 'value': '238'}], 'agentLists': []}","2 совмещенных, 1 раздельный",,free,84,3768,"[('2024-10-07T15:03:40.641318+00:00', 60000000), ('2024-09-23T15:46:32.755375+00:00', 61500000), ('2024-05-17T16:37:45.878009+00:00', 65000000)]","Продаётся, 3-комнатная квартира, за 60 000 000 ₽, 161.1 м², этаж 38/48","Продаётся, 3-комн. кв., за 60 000 000 ₽","Продаю трехкомнатную квартиру 161.1м² Ленинский просп., 111к1, Москва, ЮЗАО, р-н Обручевский м. Новаторская - база ЦИАН, объявление 302152670","➜ Купите трехкомнатную квартиру площадью 161.1м² Ленинский просп., 111к1, Москва, ЮЗАО, р-н Обручевский м. Новаторская. Цена продажи - 60 000 000 руб. Недвижимость на ЦИАН - объявление 302152670",False,2025-02-16 00:09,True,,,,,,,,70.5,,,"{'lat': 55.661328, 'lng': 37.509343}","[{'time': 11, 'geoType': 'railway', 'name': 'Очаково I', 'id': 725, 'distance': 7, 'travelType': 'byCar', 'directionIds': [14], 'qs': 'currency=2&deal_type=sale&electronic_trading=2&engine_version=2&minprice=40000000&object_type%5B0%5D=1&offer_type=flat&only_flat=1&railway%5B0%5D=725'}, {'time': 12, 'geoType': 'railway', 'name': 'Матвеевская', 'id': 716, 'distance': 7, 'travelType': 'byCar', 'directionIds': [14], 'qs': 'currency=2&deal_type=sale&electronic_trading=2&engine_version=2&minprice=40000000&object_type%5B0%5D=1&offer_type=flat&only_flat=1&railway%5B0%5D=716'}, {'time': 14, 'geoType': 'railway', 'name': 'Сколково', 'id': 742, 'distance': 10, 'travelType': 'byCar', 'directionIds': [14], 'qs': 'currency=2&deal_type=sale&electronic_trading=2&engine_version=2&minprice=40000000&object_type%5B0%5D=1&offer_type=flat&only_flat=1&railway%5B0%5D=742'}]","[{'releaseYear': None, 'lineColor': '03795F', 'time': 20, 'transportType': 'walk', 'isDefault': True, 'underConstruction': False, 'lineId': 35, 'qs': 'currency=2&deal_type=sale&electronic_trading=2&engine_version=2&metro%5B0%5D=548&minprice=40000000&object_type%5B0%5D=1&offer_type=flat&only_flat=1', 'name': 'Новаторская', 'id': 548, 'cianId': None, 'lineType': None}, {'releaseYear': None, 'lineColor': '7ACDCE', 'time': 20, 'transportType': 'walk', 'isDefault': None, 'underConstruction': False, 'lineId': 27, 'qs': 'currency=2&deal_type=sale&electronic_trading=2&engine_version=2&metro%5B0%5D=391&minprice=40000000&object_type%5B0%5D=1&offer_type=flat&only_flat=1', 'name': 'Новаторская', 'id': 391, 'cianId': None, 'lineType': None}, {'releaseYear': None, 'lineColor': '03795F', 'time': 4, 'transportType': 'transport', 'isDefault': None, 'underConstruction': False, 'lineId': 35, 'qs': 'currency=2&deal_type=sale&electronic_trading=2&engine_version=2&metro%5B0%5D=549&minprice=40000000&object_type%5B0%5D=1&offer_type=flat&only_flat=1', 'name': 'Университет Дружбы Народов', 'id': 549, 'cianId': None, 'lineType': None}, {'releaseYear': None, 'lineColor': 'CF0000', 'time': 5, 'transportType': 'transport', 'isDefault': None, 'underConstruction': False, 'lineId': 10, 'qs': 'currency=2&deal_type=sale&electronic_trading=2&engine_version=2&metro%5B0%5D=102&minprice=40000000&object_type%5B0%5D=1&offer_type=flat&only_flat=1', 'name': 'Проспект Вернадского', 'id': 102, 'cianId': None, 'lineType': None}, {'releaseYear': None, 'lineColor': 'FF7F00', 'time': 8, 'transportType': 'transport', 'isDefault': None, 'underConstruction': False, 'lineId': 5, 'qs': 'currency=2&deal_type=sale&electronic_trading=2&engine_version=2&metro%5B0%5D=42&minprice=40000000&object_type%5B0%5D=1&offer_type=flat&only_flat=1', 'name': 'Калужская', 'id': 42, 'cianId': None, 'lineType': None}]","{'developer': None, 'house': {'name': '111К1', 'id': 2779}, 'gaGeo': {'cityId': 1, 'moId': 0, 'oblId': 1}, 'fullUrl': 'https://zhk-well-house-na-leninskom-i.cian.ru/', 'displayName': 'ЖК «Well House на Ленинском»', 'name': 'Well House на Ленинском', 'id': 5426, 'webSiteUrl': None, 'webSiteUrlUtm': None}",,,,,,,,all,,,,,,,rur,,"['https://images.cdn-cian.ru/images/2171360300-1.jpg', 'https://images.cdn-cian.ru/images/2171360302-1.jpg', 'https://images.cdn-cian.ru/images/2171360304-1.jpg', 'https://images.cdn-cian.ru/images/2171360308-1.jpg', 'https://images.cdn-cian.ru/images/2171360310-1.jpg', 'https://images.cdn-cian.ru/images/2171360313-1.jpg', 'https://images.cdn-cian.ru/images/2171360316-1.jpg', 'https://images.cdn-cian.ru/images/2171360320-1.jpg', 'https://images.cdn-cian.ru/images/2171360322-1.jpg', 'https://images.cdn-cian.ru/images/2171360326-1.jpg', 'https://images.cdn-cian.ru/images/2171360330-1.jpg', 'https://images.cdn-cian.ru/images/2171360332-1.jpg', 'https://images.cdn-cian.ru/images/2171360341-1.jpg', 'https://images.cdn-cian.ru/images/2171360344-1.jpg', 'https://images.cdn-cian.ru/images/2171360350-1.jpg', 'https://images.cdn-cian.ru/images/2171360356-1.jpg', 'https://images.cdn-cian.ru/images/2171360358-1.jpg', 'https://images.cdn-cian.ru/images/2171360359-1.jpg', 'https://images.cdn-cian.ru/images/2171360363-1.jpg']",test_search
https://www.cian.ru/sale/flat/313037555/,False,False,False,False,48,2010.0,{'type': 'underground'},3.0,[],monolith,4.0,662.0,False,central,specialOrg,without,concrete,Индивидуальный проект,19.0,2025-01-30T16:10:58.64,2025-02-15T18:12:05.171098+00:00,,False,False,False,2025-02-15,,True,{'showContactWarningMessage': False},involved,involved,False,False,82000000,12,4.0,design,yardAndStreet,170.5,60.0,,False,rooms,False,False,False,[],,"id 124849

Вашему вниманию предлагается квартира общей площадью 170 кв. м с дизайнерским ремонтом, в жилом комплексе ""Велл хаус на Ленинском"". 

Планировочное решение квартиры: прихожая, гардеробная, гостевой санузел, единое пространство кухня-столовая-гостиная, просторный холл, мастер-спальня с гардеробной, большая ванная комната, две спальни, санузел.  

Квартира обставлена мебелью премиум класса производство Италия, кухня оборудована бытовой техникой ведущих производителей, сантехника Villeroy & Boch.  Полы натуральный паркет, в кухонной зоне, прихожей и санузлах, везде установлены полы с подогревом.  
Восхитительные виды из окон квартиры с одной стороны открываются на Тропаревский лесопарк, природное озеро и внутренний двор, с другой стороны на оживленный город. 
В собственности есть два семейных машиноместа в подземном паркинге. Продаются за отдельную стоимость.

Квартира продается без мебели, в стоимость входит только встроенная мебель. Остальная мебель обсуждается индивидуально. 

Кирпично-монолитный жилой комплекс премиум-класса представляет собой единый архитектурный ансамбль из четырех корпусов переменной этажности (от 32 до 48 этажей). Well House вошел в программу Новое высотное кольцо столицы. ЖК характеризуется интеллигентным лаконичным дизайном, что позволяет новостройке соответствовать общему архитектурному образу района. Элитный ЖК Well House на Ленинском построен в Обручевском районе, на Юго-Западе Москвы. Этот престижный район также является одним из самых экологически чистых районов столицы. В двух шагах от Well House начинается огромный Тропаревский лесопарк.

Вокруг ЖК много магазинов, супермаркетов и салонов красоты, недалеко расположены хорошие школы и дошкольные учреждения.

А также на территории ЖК Well House присутствует собственная сеть инфраструктуры. На территории комплекса расположены: детский развлекательный центр, элитный салон красоты, отличный фитнес-клуб с бассейном и спортивными секциями для любого возраста. Есть здесь и итальянский ресторанчик, химчистка европейского уровня, кафе, супермаркет, отделение банка ВТБ 24 и медицинский центр Доктор Анна.

В ЖК предусмотрен подземный многоуровневый паркинг с автомойкой, есть наземная гостевая парковка. Дворовая территория огорожена, ведется круглосуточное видеонаблюдение. ЖК охраняется в круглосуточном режиме. Во дворе посажены деревья и кустарники, разбиты клумбы и газоны. Есть детская площадка и места для отдыха и прогулок. Для безопасности жителей пешеходная и автомобильная зоны разделены.


Наша компания Webster является частью ассоциации агентств элитной недвижимости AREA.",b7ca3922-e943-40ab-ba73-27537acf8ed7,"{'lat': 55.661328, 'lng': 37.509343}","Москва, ЮЗАО, район Обручевский, Ленинский проспект, 111к1","{'id': 29980919, 'cianUserId': 29980919, 'realtyUserId': 29980919, 'accountType': 'specialist', 'companyName': 'Webster', 'creationDate': '2019-06-13T17:13:14.283000+00:00', 'name': 'Лариса Горубина', 'isPro': True, 'phones': [{'confirmed': True}, {'confirmed': True}, {'confirmed': True}], 'skills': [], 'absoluteAvatarUrl': 'https://www.cian.ru/api/get-avatar/?i=11118738&t=2&p=2&timestamp=1657880214', 'absoluteMiniAvatarUrl': 'https://www.cian.ru/api/get-avatar/?i=11118738&t=2&p=1&timestamp=1657880214', 'isDeveloper': False, 'firstName': 'Лариса', 'lastName': 'Горубина', 'parentId': 12920857, 'parentCianId': 12920857, 'isRecidivist': False, 'isUserOffersHasErrors': False, 'offersCount': 25, 'offersLink': 'https://www.cian.ru/company/12920857/', 'availableServices': {'isUploadsAvailable': True, 'isCallTrackingAvailable': False, 'isPhoneChangingAvailable': False, 'isServicePackagesAvailable': False, 'canUseHiddenBase': True}, 'userType': 'realtor_based', 'removeCompetitor': False, 'status': 'hidden', 'isSubAgent': True, 'isMessagingEnabled': False, 'isPassportVerified': False, 'isSelfEmployed': False, 'isPrivateBroker': False, 'masterAgent': {'cianUserId': 12920857, 'realtyUserId': 12920857, 'absoluteAvatarUrl': 'https://www.cian.ru/api/get-avatar/?i=257828&t=2&p=2&timestamp=1717639046', 'absoluteMiniAvatarUrl': 'https://www.cian.ru/api/get-avatar/?i=257828&t=2&p=1&timestamp=1717639046', 'accountType': 'agency', 'creationDate': '2017-03-10T13:44:11.733000+00:00', 'offersCount': 25}, 'isCianPartner': False, 'canShowOnline': True, 'moderationInfo': {'qualityLevelInfo': {'levelSystemName': 'high', 'levelName': 'Надёжный агент', 'levelOrder': 3, 'hasVerifiedDocuments': False, 'highResponsibility': True, 'isSuperAgent': False, 'isSuperHost': False, 'isBlocked': False, 'showSuperHost': False, 'showSuperAgent': False, 'showHighResponsibility': True}, 'isUserIdentified': False, 'isUserIdentifiedByDocuments': True, 'showUserIdentifiedByDocuments': True}, 'isHidden': True, 'metrics': [{'title': 'На Циан', 'value': '7 лет'}, {'title': 'Объектов в работе', 'value': '25'}], 'agentLists': []}",3 совмещенных,,free,19,318,"[('2025-01-30T13:11:00.723667+00:00', 82000000)]","Продаётся, 4-комнатная квартира, за 82 000 000 ₽, 170.5 м², этаж 12/48","Продаётся, 4-комн. кв., за 82 000 000 ₽","Продаю четырехкомнатную квартиру 170.5м² Ленинский просп., 111к1, Москва, ЮЗАО, р-н Обручевский м. Новаторская - база ЦИАН, объявление 313037555","➜ Купите четырехкомнатную квартиру площадью 170.5м² Ленинский просп., 111к1, Москва, ЮЗАО, р-н Обручевский м. Новаторская. Цена продажи - 82 000 000 руб. Недвижимость на ЦИАН - объявление 313037555",False,2025-02-16 00:09,True,,,0.0,,,False,,80.0,0.0,,"{'lng': 37.509343, 'lat': 55.661328}","[{'id': 725, 'time': 11, 'directionIds': [14], 'geoType': 'railway', 'travelType': 'byCar', 'name': 'Очаково I', 'distance': 7, 'qs': 'currency=2&deal_type=sale&electronic_trading=2&engine_version=2&minprice=40000000&object_type%5B0%5D=1&offer_type=flat&only_flat=1&railway%5B0%5D=725'}, {'id': 716, 'time': 12, 'directionIds': [14], 'geoType': 'railway', 'travelType': 'byCar', 'name': 'Матвеевская', 'distance': 7, 'qs': 'currency=2&deal_type=sale&electronic_trading=2&engine_version=2&minprice=40000000&object_type%5B0%5D=1&offer_type=flat&only_flat=1&railway%5B0%5D=716'}, {'id': 742, 'time': 14, 'directionIds': [14], 'geoType': 'railway', 'travelType': 'byCar', 'name': 'Сколково', 'distance': 10, 'qs': 'currency=2&deal_type=sale&electronic_trading=2&engine_version=2&minprice=40000000&object_type%5B0%5D=1&offer_type=flat&only_flat=1&railway%5B0%5D=742'}]","[{'id': 548, 'lineId': 35, 'time': 20, 'isDefault': True, 'qs': 'currency=2&deal_type=sale&electronic_trading=2&engine_version=2&metro%5B0%5D=548&minprice=40000000&object_type%5B0%5D=1&offer_type=flat&only_flat=1', 'releaseYear': None, 'name': 'Новаторская', 'cianId': None, 'lineColor': '03795F', 'underConstruction': False, 'transportType': 'walk', 'lineType': None}, {'id': 391, 'lineId': 27, 'time': 20, 'isDefault': False, 'qs': 'currency=2&deal_type=sale&electronic_trading=2&engine_version=2&metro%5B0%5D=391&minprice=40000000&object_type%5B0%5D=1&offer_type=flat&only_flat=1', 'releaseYear': None, 'name': 'Новаторская', 'cianId': None, 'lineColor': '7ACDCE', 'underConstruction': False, 'transportType': 'walk', 'lineType': None}, {'id': 549, 'lineId': 35, 'time': 4, 'isDefault': False, 'qs': 'currency=2&deal_type=sale&electronic_trading=2&engine_version=2&metro%5B0%5D=549&minprice=40000000&object_type%5B0%5D=1&offer_type=flat&only_flat=1', 'releaseYear': None, 'name': 'Университет Дружбы Народов', 'cianId': None, 'lineColor': '03795F', 'underConstruction': False, 'transportType': 'transport', 'lineType': None}, {'id': 102, 'lineId': 10, 'time': 5, 'isDefault': False, 'qs': 'currency=2&deal_type=sale&electronic_trading=2&engine_version=2&metro%5B0%5D=102&minprice=40000000&object_type%5B0%5D=1&offer_type=flat&only_flat=1', 'releaseYear': None, 'name': 'Проспект Вернадского', 'cianId': None, 'lineColor': 'CF0000', 'underConstruction': False, 'transportType': 'transport', 'lineType': None}, {'id': 42, 'lineId': 5, 'time': 8, 'isDefault': False, 'qs': 'currency=2&deal_type=sale&electronic_trading=2&engine_version=2&metro%5B0%5D=42&minprice=40000000&object_type%5B0%5D=1&offer_type=flat&only_flat=1', 'releaseYear': None, 'name': 'Калужская', 'cianId': None, 'lineColor': 'FF7F00', 'underConstruction': False, 'transportType': 'transport', 'lineType': None}]","{'id': 5426, 'fullUrl': 'https://zhk-well-house-na-leninskom-i.cian.ru/', 'webSiteUrl': None, 'house': {'id': 2779, 'name': '111К1'}, 'displayName': 'ЖК «Well House на Ленинском»', 'webSiteUrlUtm': None, 'developer': None, 'name': 'Well House на Ленинском', 'gaGeo': {'cityId': 1, 'oblId': 1, 'moId': 0}}",,0.0,0.0,,,,True,all,,,,,,,rur,"71,8—87,8 млн ₽","['https://images.cdn-cian.ru/images/kvartira-moskva-leninskiy-prospekt-2387485926-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-moskva-leninskiy-prospekt-2387486121-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-moskva-leninskiy-prospekt-2387486133-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-moskva-leninskiy-prospekt-2387485928-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-moskva-leninskiy-prospekt-2387486135-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-moskva-leninskiy-prospekt-2387486130-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-moskva-leninskiy-prospekt-2387485927-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-moskva-leninskiy-prospekt-2387486051-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-moskva-leninskiy-prospekt-2387486103-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-moskva-leninskiy-prospekt-2387485972-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-moskva-leninskiy-prospekt-2387486168-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-moskva-leninskiy-prospekt-2387485877-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-moskva-leninskiy-prospekt-2387485961-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-moskva-leninskiy-prospekt-2387485876-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-moskva-leninskiy-prospekt-2387485929-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-moskva-leninskiy-prospekt-2387486171-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-moskva-leninskiy-prospekt-2387486162-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-moskva-leninskiy-prospekt-2387486099-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-moskva-leninskiy-prospekt-2387486048-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-moskva-leninskiy-prospekt-2387486047-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-moskva-leninskiy-prospekt-2387486149-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-moskva-leninskiy-prospekt-2387486160-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-moskva-leninskiy-prospekt-2387486105-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-moskva-leninskiy-prospekt-2387486182-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-moskva-leninskiy-prospekt-2387486094-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-moskva-leninskiy-prospekt-2387485966-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-moskva-leninskiy-prospekt-2387485878-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-moskva-leninskiy-prospekt-2387485880-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-moskva-leninskiy-prospekt-2387486176-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-moskva-leninskiy-prospekt-2387485978-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-moskva-leninskiy-prospekt-2387486042-1.jpg', 'https://images.cdn-cian.ru/images/kvartira-moskva-leninskiy-prospekt-2387523072-1.jpg']",test_search
